"rank","size","eligible","excel_row","mp_id","name","address","epsg25832_easting","epsg25832_northing","epsg31468_x","epsg31468_y","nearest_stop_distance_m","nearest_stop_id","matched_matsim_stop_ids","served_matsim_stop_ids","matched_stop_groups","matched_stop_names","distinct_line_count","matched_line_ids","route_count","matsim_modes","lhm_mode_flags","mode_flag_comparison","carsharing_spaces","possible_transfer_pair_count","current_transfer_relation_count","current_transfer_times","confidence","selection_reason","unresolved_issue"
"79","eligible_not_shortlisted","true","24","501","Mariahilfplatz","Mariahilfplatz 28","692176.656","5333519.346","4469036.751","5332067.663","83.7","106508","106246;106507;106508;106509;106509.1","106246;106508;106509;106509.1","106242=[106246]|106507=[106507;106508;106509;106509.1]","Mariahilfplatz;Schweigerstraße","2","XXX---2272032_3;XXX---2272041_3","18","bus","bus=Ja|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","0","2","5","106246>106246=180s;106508>106508=180s;106508>106509=180s;106509>106508=180s;106509>106509=180s","medium","deterministic rank from 2 lines, 1 MATSim modes, 0 carsharing spaces, mp_id 501","none"
"","not_selected","false","115","206","Stephansplatz","Thalkirchnerstraße 26","690940.695","5334018.462","4467821.235","5332614.565","25.5","106588","106588;106589","106589","106588=[106588;106589]","Stephansplatz","1","XXX---2272041_3","6","bus","bus=Ja|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","6","0","1","106589>106589=0s","low","not eligible: fewer than two MATSim lines within 150 m","fewer than two MATSim lines within 150 m"
"","not_selected","false","13","410","Mildred-Scheel-Bogen","Isoldenstraße 41","691915.206","5339049.708","4468991.190","5337603.788","42.5","107196","107196;107197;107198;107216","107197;107198;107216","107196=[107196;107197;107198]|107215=[107216]","Klopstockstraße;Mildred-Scheel-Bogen","1","XXX---2272060_3","4","bus","bus=Ja|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","6","0","5","107197>107197=180s;107197>107198=180s;107198>107197=180s;107198>107198=180s;107216>107216=180s","low","not eligible: fewer than two MATSim lines within 150 m","fewer than two MATSim lines within 150 m"
"","not_selected","false","42","2002","Max-Lebsche-Platz","westlich der Heiglhofstraße 54 in der Sauerbruchstraße","684312.854","5331356.887","4461094.791","5330213.413","54.0","109116","109115;109116;109117","109116;109117","109115=[109115;109116;109117]","Max-Lebsche-Platz","1","XXX---2272036_3","10","bus","bus=Ja|tram=Nein|u_bahn=Ja|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:mismatch","6","0","4","109116>109116=180s;109116>109117=180s;109117>109116=180s;109117>109117=180s","low","not eligible: fewer than two MATSim lines within 150 m","fewer than two MATSim lines within 150 m; LHM u_bahn=Ja vs MATSim subway=false"
"","not_selected","false","33","15","Jean-Paul-Richter-Straße","Jean-Paul-Richter-Straße","688017.353","5331801.370","4464813.768","5330513.173","57.1","108993","108991;108992;108993","108992;108993","108991=[108991;108992;108993]","Friedrich-Hebbel-Straße","1","XXX---2272053_3","5","bus","bus=Ja|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","5","0","4","108992>108992=180s;108992>108993=180s;108993>108992=180s;108993>108993=180s","low","not eligible: fewer than two MATSim lines within 150 m","fewer than two MATSim lines within 150 m"
"","not_selected","false","14","306","Hochschule München","Lothstraße 64","690080.990","5336721.557","4467067.617","5335349.040","129.3","106145","106144;106144.1;106145","106144;106144.1;106145","106141=[106144;106144.1;106145]","Hochschule München (Lothstr.)","1","XXX---2272068_3","11","bus","bus=Ja|tram=Ja|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:mismatch;u_bahn:match","5","0","4","106144>106144=180s;106144>106145=180s;106145>106144=180s;106145>106145=180s","low","not eligible: fewer than two MATSim lines within 150 m","fewer than two MATSim lines within 150 m; LHM tram=Ja vs MATSim tram=false"
"","not_selected","false","84","407","Georg-Birk-Straße","Petra-Kelly-Straße 26","690135.806","5337572.766","4467155.591","5336197.437","107.8","106846","106846;106847","106847","106846=[106846;106847]","Georg-Birk-Straße","1","XXX---2272039_3","7","bus","bus=Ja|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","5","0","1","106847>106847=0s","low","not eligible: fewer than two MATSim lines within 150 m","fewer than two MATSim lines within 150 m"
"","not_selected","false","82","1804","Tierpark - Alemannenstraße","Alemannenstraße 2","690471.721","5330655.540","4467221.554","5329272.590","22.9","108658","108656;108657;108658","108657;108658","108656=[108656;108657;108658]","Tierpark (Alemannenstr.)","1","XXX---2272032_3","4","bus","bus=Ja|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","5","0","4","108657>108657=180s;108657>108658=180s;108658>108657=180s;108658>108658=180s","low","not eligible: fewer than two MATSim lines within 150 m","fewer than two MATSim lines within 150 m"
"","not_selected","false","58","20","Hans-Fischer-Straße","Hans-Fischer-Str. 9","689322.385","5333632.319","4466189.150","5332291.819","38.8","106458","106457;106458;106459","106458;106459","106457=[106457;106458;106459]","Hans-Fischer-Straße","1","XXX---2272041_3","16","bus","bus=Ja|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","4","0","4","106458>106458=180s;106458>106459=180s;106459>106458=180s;106459>106459=180s","low","not eligible: fewer than two MATSim lines within 150 m","fewer than two MATSim lines within 150 m"
"","not_selected","false","96","1102","Curt-Mezger-Platz","Schleißheimerstraße 336","690799.716","5339710.879","4467902.387","5338307.954","70.9","106976","106974;106975;106976","106975;106976","106974=[106974;106975;106976]","Curt-Mezger-Platz","1","XXX---2272091_3","6","bus","bus=Ja|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","4","0","4","106975>106975=180s;106975>106976=180s;106976>106975=180s;106976>106976=180s","low","not eligible: fewer than two MATSim lines within 150 m","fewer than two MATSim lines within 150 m"
"","not_selected","false","10","2004","Lorettoplatz","Waldsruhe 1","685253.218","5330870.652","4462015.490","5329690.900","39.8","109078","109077;109078;109079","109078;109079","109077=[109077;109078;109079]","Lorettoplatz","1","XXX---2272034_3","12","bus","bus=Ja|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","4","0","4","109078>109078=180s;109078>109079=180s;109079>109078=180s;109079>109079=180s","low","not eligible: fewer than two MATSim lines within 150 m","fewer than two MATSim lines within 150 m"
"","not_selected","false","98","210","Am Glockenbach","Holzstraße 47-49","691019.202","5333621.026","4467884.186","5332214.384","239.4","106594","","","","","0","","0","","bus=Nein|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","13","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","no MATSim stops within 150 m; fewer than two MATSim lines within 150 m"
"","not_selected","false","46","34","Marianne-Brandt-Straße","Marianne-Brandt-Straße 3 - 7","692796.126","5339639.725","4469894.421","5338158.961","321.8","107315","","","","","0","","0","","bus=Nein|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","9","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","embedded line break in address; no MATSim stops within 150 m; fewer than two MATSim lines within 150 m"
"","not_selected","false","40","13","Schlotthauerstraße","Schlotthauerstraße 3","691665.335","5333200.997","4468513.429","5331769.501","280.9","106512","","","","","0","","0","","bus=Nein|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","8","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","embedded line break in name; no MATSim stops within 150 m; fewer than two MATSim lines within 150 m"
"","not_selected","false","78","1304","Prinzregentenstadion","Prinzregentenplatz 6","693725.433","5335098.560","4470645.850","5333585.220","209.0","107466","","","","","0","","0","","bus=Ja|tram=Nein|u_bahn=Ja|s_bahn=Nein","bus:mismatch;s_bahn:match_via_rail_proxy;tram:match;u_bahn:mismatch","8","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","no MATSim stops within 150 m; fewer than two MATSim lines within 150 m; LHM bus=Ja vs MATSim bus=false; LHM u_bahn=Ja vs MATSim subway=false"
"","not_selected","false","29","1407","Innsbrucker Ring","Echardinger Str. 65","695147.331","5333004.796","4471984.962","5331437.726","154.5","108215","","","","","0","","0","","bus=Ja|tram=Nein|u_bahn=Ja|s_bahn=Nein","bus:mismatch;s_bahn:match_via_rail_proxy;tram:match;u_bahn:mismatch","8","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","no MATSim stops within 150 m; fewer than two MATSim lines within 150 m; LHM bus=Ja vs MATSim bus=false; LHM u_bahn=Ja vs MATSim subway=false"
"","not_selected","false","51","2","Knöbelstraße","Knöbelstraße 2 - 6a","692249.668","5334661.104","4469154.218","5333205.658","215.4","106416","","","","","0","","0","","bus=Nein|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","7","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","no MATSim stops within 150 m; fewer than two MATSim lines within 150 m"
"","not_selected","false","107","22","Schießstättstraße","Schießstättstraße 8 - 10","689385.465","5334645.423","4466291.679","5333301.667","252.0","106192","","","","","0","","0","","bus=Nein|tram=Ja|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:mismatch;u_bahn:match","7","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","no MATSim stops within 150 m; fewer than two MATSim lines within 150 m; LHM tram=Ja vs MATSim tram=false"
"","not_selected","false","62","502","Welfenstraße","Welfenstraße 13","692619.074","5333120.423","4469463.263","5331651.813","168.7","106611","","","","","0","","0","","bus=Ja|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:mismatch;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","7","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","no MATSim stops within 150 m; fewer than two MATSim lines within 150 m; LHM bus=Ja vs MATSim bus=false"
"","not_selected","false","2","10","Westenriederstraße","Westenriederstraße 39-51","691908.739","5334527.046","4468808.336","5333085.001","284.1","106355","","","","","0","","0","","bus=Nein|tram=Nein|u_bahn=Nein|s_bahn=Ja","bus:match;s_bahn:mismatch_via_rail_proxy;tram:match;u_bahn:match","6","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","no MATSim stops within 150 m; fewer than two MATSim lines within 150 m; LHM s_bahn=Ja vs MATSim rail proxy=false"
"","not_selected","false","64","43","Karl-Marx-Zentrum","Peschelanger","697732.336","5331708.983","4474517.329","5330042.227","178.4","107980","","","","","0","","0","","bus=Ja|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:mismatch;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","6","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","no MATSim stops within 150 m; fewer than two MATSim lines within 150 m; LHM bus=Ja vs MATSim bus=false"
"","not_selected","false","118","307","Schleißheimer Straße","Schleißheimerstraße 47","690468.717","5336628.979","4467451.427","5335241.414","193.8","106224","","","","","0","","0","","bus=Nein|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","6","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","no MATSim stops within 150 m; fewer than two MATSim lines within 150 m"
"","not_selected","false","114","1107","Neuherbergstraße","Neuherbergstraße 110","690567.916","5342716.612","4467788.074","5341320.342","167.1","107162","","","","","0","","0","","bus=Ja|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:mismatch;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","6","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","no MATSim stops within 150 m; fewer than two MATSim lines within 150 m; LHM bus=Ja vs MATSim bus=false"
"","not_selected","false","100","1402","Hermann-Weinhauser-Straße","Hermann-Weinhauser-Str","695601.616","5334466.036","4472495.841","5332880.059","237.5","107919","","","","","0","","0","","bus=Nein|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","6","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","no MATSim stops within 150 m; fewer than two MATSim lines within 150 m"
"","not_selected","false","105","4","Oberanger","Klosterhofstraße 2 -17","691233.178","5334406.904","4468128.630","5332991.294","195.9","106556","","","","","0","","0","","bus=Nein|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","5","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","embedded line break in name; no MATSim stops within 150 m; fewer than two MATSim lines within 150 m"
"","not_selected","false","38","54","Dreimühlenstraße","Isartalstraße/Dreimühlenstraße","690706.526","5333099.878","4467551.442","5331705.840","203.3","106547","","","","","0","","0","","bus=Nein|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","5","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","no MATSim stops within 150 m; fewer than two MATSim lines within 150 m"
"","not_selected","false","41","211","Zenettiplatz","Zenettiplatz 1 - 2","690174.291","5333300.830","4467027.461","5331927.381","189.8","106412","","","","","0","","0","","bus=Nein|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","5","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","no MATSim stops within 150 m; fewer than two MATSim lines within 150 m"
"","not_selected","false","121","301","St. Benno","Kreittmayrstraße 31a","689907.677","5336339.057","4466879.524","5334973.602","223.5","106658","","","","","0","","0","","bus=Nein|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","5","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","no MATSim stops within 150 m; fewer than two MATSim lines within 150 m"
"","not_selected","false","4","303","Königinstraße","Königinstraße 37","692223.658","5336197.452","4469188.138","5334741.788","251.1","167614","","","","","0","","0","","bus=Nein|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","5","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","no MATSim stops within 150 m; fewer than two MATSim lines within 150 m"
"","not_selected","false","87","1802","Hans-Mielich-Platz","Hans-Mielich-Platz","691304.206","5332456.239","4468123.557","5331039.415","201.9","108670","","","","","0","","0","","bus=Ja|tram=Nein|u_bahn=Ja|s_bahn=Nein","bus:mismatch;s_bahn:match_via_rail_proxy;tram:match;u_bahn:mismatch","5","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","no MATSim stops within 150 m; fewer than two MATSim lines within 150 m; LHM bus=Ja vs MATSim bus=false; LHM u_bahn=Ja vs MATSim subway=false"
"","not_selected","false","112","3","Maximiliansplatz","Maximiliansplatz 12a, 12b","691435.540","5335337.622","4468367.121","5333913.380","213.2","106325","","","","","0","","0","","bus=Nein|tram=Nein|u_bahn=Ja|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:mismatch","4","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","embedded line break in name; no MATSim stops within 150 m; fewer than two MATSim lines within 150 m; LHM u_bahn=Ja vs MATSim subway=false"
"","not_selected","false","25","23","Westend","Westendstraße 139 - 141","688310.179","5334716.678","4465220.015","5333414.792","257.9","106410","","","","","0","","0","","bus=Nein|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","4","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","embedded line break in name; no MATSim stops within 150 m; fewer than two MATSim lines within 150 m"
"","not_selected","false","57","24","Hirschbergstraße","Hirschbergstraße 12","688474.899","5335942.079","4465432.390","5334632.813","228.6","106465","","","","","0","","0","","bus=Nein|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","4","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","no MATSim stops within 150 m; fewer than two MATSim lines within 150 m"
"","not_selected","false","119","25","Schluderstraße","Schluderstraße 20 ggü","688088.797","5336073.798","4465051.726","5334779.486","207.0","106692","","","","","0","","0","","bus=Ja|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:mismatch;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","4","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","no MATSim stops within 150 m; fewer than two MATSim lines within 150 m; LHM bus=Ja vs MATSim bus=false"
"","not_selected","false","17","38","Friedenspromenade","Hugo-Weiss-Straße 1","699230.639","5332296.342","4476037.272","5330570.700","154.2","108176","","","","","0","","0","","bus=Ja|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:mismatch;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","4","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","embedded line break in address; no MATSim stops within 150 m; fewer than two MATSim lines within 150 m; LHM bus=Ja vs MATSim bus=false"
"","not_selected","false","49","46","Plettstraße","Plettstraße 35","696589.933","5331545.813","4473369.514","5329923.715","260.7","108379","","","","","0","","0","","bus=Nein|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","4","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","embedded line break in name; embedded line break in address; no MATSim stops within 150 m; fewer than two MATSim lines within 150 m"
"","not_selected","false","106","209","Kaiser-Ludwig-Platz","Kaiser-Ludwig-Platz 8","690139.639","5334066.992","4467022.706","5332694.287","199.4","FT_U9_ESPERANTOPLATZ","","","","","0","","0","","bus=Nein|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","4","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","no MATSim stops within 150 m; fewer than two MATSim lines within 150 m"
"","not_selected","false","88","2502","Aindorferstraße","Aindorferstraße","685568.094","5334016.056","4462452.732","5332821.626","317.5","109440","","","","","0","","0","","bus=Nein|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","4","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","no MATSim stops within 150 m; fewer than two MATSim lines within 150 m"
"","not_selected","false","52","18","Ganghoferstraße","Ganghoferstraße 1","689018.812","5334771.769","4465930.241","5333442.210","168.8","106350","","","","","0","","0","","bus=Nein|tram=Ja|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:mismatch;u_bahn:match","3","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","no MATSim stops within 150 m; fewer than two MATSim lines within 150 m; LHM tram=Ja vs MATSim tram=false"
"","not_selected","false","73","60","Westkreuz","Friedrichshafener Straße 11","681647.241","5335631.642","4458597.836","5334588.879","153.2","109515","","","","","0","","0","","bus=Ja|tram=Nein|u_bahn=Nein|s_bahn=Ja","bus:mismatch;s_bahn:mismatch_via_rail_proxy;tram:match;u_bahn:match","3","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","no MATSim stops within 150 m; fewer than two MATSim lines within 150 m; LHM bus=Ja vs MATSim bus=false; LHM s_bahn=Ja vs MATSim rail proxy=false"
"","not_selected","false","47","50","Kesselbergstraße","Walchenseeplatz 1","692288.133","5332081.376","4469092.087","5330626.500","227.7","108390","","","","","0","","0","","bus=Nein|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","2","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","no MATSim stops within 150 m; fewer than two MATSim lines within 150 m"
"","not_selected","false","30","1406","Isareckstraße","Schlüsselbergstraße 16","695089.591","5333857.305","4471960.503","5332291.788","150.8","107910","","","","","0","","0","","bus=Ja|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:mismatch;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","0","0","0","none","low","not eligible: no MATSim stops within 150 m; fewer than two MATSim lines within 150 m","no MATSim stops within 150 m; fewer than two MATSim lines within 150 m; LHM bus=Ja vs MATSim bus=false"
